name,size,creationDate
00afa36e54__log_0007_vibration_high.bin,894088,2026-02-26 01:39:00.032000
07124add06__batch2_motor_140246_b.bin,35653445,2026-02-26 01:39:00.376000
0818fe7e5c__log_0010_rc_failsafe.bin,139194,2026-02-26 01:38:59.795000
0981e19b7d__batch2_motor_130060.bin,3268608,2026-02-26 01:38:59.577000
12ee853194__log_0009_compass_interference.bin,94208,2026-02-26 01:39:00.055000
14f3d25271__log_0010_ekf_failure.bin,24297472,2026-02-26 01:39:00.554000
16c0fe0044__log_0010_compass_interference.bin,376832,2026-02-26 01:38:59.974000
1820618f38__log_0004_vibration_high.bin,1132316,2026-02-26 01:38:59.936000
23941a01aa__batch1_midair_reboot_17918.bin,868352,2026-02-26 01:38:59.989000
277840edde__batch2_crash_4_0_rc3.bin,958464,2026-02-26 01:38:59.785000
335e9881ac__batch2_esc_81059.bin,24483104,2026-02-26 01:39:00.342000
33c535f6f0__log_0001_vibration_high.bin,987473,2026-02-26 01:38:59.970000
36c9f718b1__batch2_ekf_8931_b.bin,24854528,2026-02-26 01:39:00.506000
4dbb9b5fad__log_0009_pid_tuning_issue.bin,5607424,2026-02-26 01:39:00.165000
5563ebf18d__batch2_crash_4_0_dropbox.bin,9857601,2026-02-26 01:39:00.085000
5c454779ec__log_0013_power_instability.bin,2039074,2026-02-26 01:39:00.133000
66bbaf3919__log_10_MAG_INTERFERENCE_1.bin,1830912,2026-02-26 01:38:59.942000
694da9f46e__log_0012_power_instability.bin,946176,2026-02-26 01:38:59.952000
7065a3cd0f__log_0003_vibration_high.bin,3911181,2026-02-26 01:39:00.196000
8265f254a7__batch2_two_motors_132001.bin,5046272,2026-02-26 01:39:00.128000
87f863ad02__batch2_motor_off_121845.bin,213760958,2026-02-26 01:39:03.987000
8dda19965d__log_0011_rc_failsafe.bin,310272,2026-02-26 01:38:59.797000
97845b23ea__log_0009_ekf_failure.bin,60309504,2026-02-26 01:39:00.992000
a004f350c2__log_0005_vibration_high.bin,3941630,2026-02-26 01:39:00.008000
a7290a8733__log_0006_vibration_high.bin,830387,2026-02-26 01:38:59.862000
af2836cad8__log_0009_rc_failsafe.bin,471040,2026-02-26 01:39:00.102000
b0db91ee3d__log_0008_compass_interference.bin,806912,2026-02-26 01:39:00.001000
b89fc87fea__log_0008_rc_failsafe.bin,19783680,2026-02-26 01:39:00.419000
b9daccd263__log_0012_gps_quality_poor.bin,920999,2026-02-26 01:38:59.803000
c1bcef192f__log_0002_vibration_high.bin,879560,2026-02-26 01:39:00.060000
c5640421c2__batch2_ekf_8931_a.bin,8627056,2026-02-26 01:38:59.906000
c648fe37de__log_01_VIBE_HIGH.bin,1540096,2026-02-26 01:39:00.232000
c8bfdfdd38__batch2_motor_140246_a.bin,5418808,2026-02-26 01:38:59.868000
d74079b8cc__log_0011_compass_interference.bin,3595537,2026-02-26 01:38:59.946000
db9fa2016d__log_0011_power_instability.bin,270336,2026-02-26 01:38:59.865000
f121066e7e__log_0008_ekf_failure.bin,28622848,2026-02-26 01:39:00.299000
ground_truth.json,16471,2026-02-26 01:39:00.238000
log_0033_hardware_failure.bin,21426176,2026-02-26 01:39:00.615000
log_0034_hardware_failure.bin,15988,2026-02-26 01:38:59.805000
log_0037_mechanical_failure.bin,6513226,2026-02-26 01:39:00.258000
log_0038_mechanical_failure.bin,364323,2026-02-26 01:38:59.700000
log_0039_mechanical_failure.bin,1124580,2026-02-26 01:39:00.212000
log_0040_mechanical_failure.bin,6467478,2026-02-26 01:38:59.806000
log_0041_mechanical_failure.bin,958464,2026-02-26 01:38:59.683000
log_0046_thrust_loss.bin,3188569,2026-02-26 01:38:59.765000
log_0047_thrust_loss.bin,534601,2026-02-26 01:38:59.676000
